case_id,household_case_id,village_code,country,household_cohort,control_myagro,myagro,cowpea_hectares,maize_hectares,millet_hectares,okra_hectares,peanut_hectares,rice_hectares,roselle_hectares,sorghum_hectares,watermelon_hectares,fertilizer_hectares,hectares_delivered_before_2023,cashew,peanut,bissap,cotton,okra,maize,millet,cowpea,watermelon,sweet_potato,rice,sorghum,tomato,data_collection_period_encoded,data_collection_period_eng,t_c,sin_t,cos_t,rcsi,propensity,hdds_cereals,hdds_eggs,hdds_fish_seafood,hdds_fruits,hdds_meat_poultry_offal,hdds_milk_products,hdds_miscellaneous,hdds_oils_fats,hdds_pulses_legumes_nuts,hdds_roots_tubers,hdds_sugar_honey,hdds_vegetables,hhs_hungry,hhs_hungry_freq,hhs_hungry_yes_no,hhs_no_food,hhs_no_food_freq,hhs_no_food_yes_no,hhs_no_resources,hhs_no_resources_freq,hhs_no_resources_yes_no,rcsi_borrow,rcsi_limit,rcsi_reduce,rcsi_rely,rcsi_restrict,hhs_no_resources_recoded,hhs_hungry_recoded,hhs_no_food_recoded,hhs_categorical
c16f981a-ad95-4354-b0ca-1d2dab4e54c9,00412397-99d5-4a3e-928b-766060ba9bac,12752,Mali,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,September 2024,3.31103425004218,0.5150898181977732,-0.8571362080725472,10,0.3748165,1,0,1,0,1,0,1,1,1,0,1,1,0,,0,0,,0,0,,0,0,4,0,0,2,0,0,0,Little to no hunger
e1574396-63c2-4c1f-acfe-602bc5f337ea,0069e01b465f42938130eda3f8e02085,DU406,Senegal,2,myagro,1,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,January/February 2024,-1.68896574995782,-0.9703103284964132,0.2418633217608305,3,0.53319126,1,0,0,0,0,0,1,1,0,0,1,0,0,,0,0,,0,1,1.0,1,1,0,0,1,0,1,0,0,Little to no hunger
046ba17c-5ff4-4161-a999-036c7e9447f0,0069e01b465f42938130eda3f8e02085,DU406,Senegal,2,myagro,1,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,March 2024,-0.6889657499578199,-0.5150898181977731,0.8571362080725473,0,0.53319126,1,0,1,0,0,0,1,1,0,1,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
348812a8-953f-4bd0-863e-5c6a6948c83f,0069e01b465f42938130eda3f8e02085,DU406,Senegal,2,myagro,1,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,April/May 2024,0.3110342500421801,0.2418633217608304,0.9703103284964132,0,0.53319126,1,0,1,0,0,1,1,1,1,1,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
09ac3fc9-518c-4756-b315-3879873160c4,007e59fa-3e02-423f-9c25-f8db9fa0bd9b,11468,Senegal,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,June/July 2024,1.31103425004218,0.8571362080725473,0.5150898181977731,12,0.4771418,1,0,1,0,0,0,1,0,0,0,1,0,0,,0,0,,0,1,1.0,1,2,0,5,3,0,1,0,0,Little to no hunger
b89c5345-1d23-4f60-8214-14e5bb94eeb6,007e59fa-3e02-423f-9c25-f8db9fa0bd9b,11468,Senegal,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,July/August 2024,2.31103425004218,0.9703103284964132,-0.2418633217608304,27,0.4771418,1,0,0,0,0,0,1,1,0,0,1,0,1,1.0,1,0,,0,1,1.0,1,5,6,0,5,2,1,1,0,Moderate hunger
74491b30-a52a-42b6-a9d3-9672e10df6d7,007e59fa-3e02-423f-9c25-f8db9fa0bd9b,11468,Senegal,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,September 2024,3.31103425004218,0.5150898181977732,-0.8571362080725472,36,0.4771418,1,0,1,0,0,0,1,0,0,0,1,0,1,1.0,1,0,,0,1,1.0,1,0,6,5,7,6,1,1,0,Moderate hunger
87234cc7-836d-4c07-92db-95170ddcf0a3,00829a5e866b42f5935d10afd4942eae,LX461,Senegal,3,myagro,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,June/July 2024,1.31103425004218,0.8571362080725473,0.5150898181977731,0,0.58710915,1,1,1,1,0,0,1,1,1,1,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
6c0a30b3-33f3-4beb-b407-f563afc977c3,00829a5e866b42f5935d10afd4942eae,LX461,Senegal,3,myagro,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,July/August 2024,2.31103425004218,0.9703103284964132,-0.2418633217608304,0,0.58710915,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
fc818a93-9e8a-4645-992e-7df9c973bad3,00829a5e866b42f5935d10afd4942eae,LX461,Senegal,3,myagro,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,September 2024,3.31103425004218,0.5150898181977732,-0.8571362080725472,0,0.58710915,1,0,1,1,0,0,1,1,1,1,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
12cefa4d-ce3d-48fb-829a-99cd72956228,00a850af438545ceb326e27d6c0245bd,RT330,Mali,3,myagro,1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,June/July 2024,1.31103425004218,0.8571362080725473,0.5150898181977731,14,0.50838083,0,0,1,0,0,0,1,1,0,0,1,1,0,,0,0,,0,0,,0,0,7,0,7,0,0,0,0,Little to no hunger
3eacfb7c-8a24-4a7d-8132-609b3aea7666,00a850af438545ceb326e27d6c0245bd,RT330,Mali,3,myagro,1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,July/August 2024,2.31103425004218,0.9703103284964132,-0.2418633217608304,14,0.50838083,1,0,1,1,0,1,1,1,0,0,1,1,0,,0,0,,0,0,,0,0,7,0,7,0,0,0,0,Little to no hunger
8a16361a-d909-4707-b3bc-af5a0d9aad94,00a850af438545ceb326e27d6c0245bd,RT330,Mali,3,myagro,1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,September 2024,3.31103425004218,0.5150898181977732,-0.8571362080725472,20,0.50838083,1,0,1,1,0,1,1,1,0,0,1,1,0,,0,0,,0,0,,0,0,7,0,7,2,0,0,0,Little to no hunger
46261459-be1e-492d-948f-e6639bf21bd5,00b8a7b0-1356-492a-ace2-e3c51add02e3,12630,Mali,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,June/July 2024,1.31103425004218,0.8571362080725473,0.5150898181977731,0,0.60225505,1,0,1,1,0,0,1,1,0,0,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
4b6b2947-df73-44c3-a9fc-a9ea43eb65bc,00b8a7b0-1356-492a-ace2-e3c51add02e3,12630,Mali,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,July/August 2024,2.31103425004218,0.9703103284964132,-0.2418633217608304,0,0.60225505,1,0,1,0,0,0,1,1,0,0,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
eb2baee6-d1b1-43e6-9d48-80236bdbe301,00b8a7b0-1356-492a-ace2-e3c51add02e3,12630,Mali,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,September 2024,3.31103425004218,0.5150898181977732,-0.8571362080725472,0,0.60225505,1,0,1,0,0,1,1,1,0,1,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
7f4f5025-4d6c-42c4-a5fd-f572313f1179,00c087370d5548cba9b8b092b2588774,SR057,Senegal,2,myagro,1,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,January/February 2024,-1.68896574995782,-0.9703103284964132,0.2418633217608305,2,0.47474113,1,0,0,1,0,1,1,1,0,0,1,0,0,,0,0,,0,0,,0,1,0,0,0,0,0,0,0,Little to no hunger
675633a0-dec0-411f-9a88-1d41bffcd6cc,00c087370d5548cba9b8b092b2588774,SR057,Senegal,2,myagro,1,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,March 2024,-0.6889657499578199,-0.5150898181977731,0.8571362080725473,4,0.47474113,1,0,1,1,0,1,1,1,0,0,1,0,0,,0,0,,0,0,,0,1,2,0,0,0,0,0,0,Little to no hunger
77299c71-ad6b-46a4-b043-71346c853959,00c087370d5548cba9b8b092b2588774,SR057,Senegal,2,myagro,1,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,April/May 2024,0.3110342500421801,0.2418633217608304,0.9703103284964132,8,0.47474113,1,0,0,0,0,1,1,1,1,1,1,0,0,,0,0,,0,0,,0,1,3,0,3,0,0,0,0,Little to no hunger
4b5fb38b-9240-4e14-bc88-063c08002c6f,00c2c152c0154b77bd7eda2b30f1be02,WJ716,Mali,1,myagro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,October 2023,-3.68896574995782,-0.2418633217608305,-0.970310328496413,0,0.6619286,1,0,1,1,0,1,1,1,0,1,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
51e88aa1-5098-44be-8c9f-b24e47c1d593,00c2c152c0154b77bd7eda2b30f1be02,WJ716,Mali,1,myagro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,November/December 2023,-2.68896574995782,-0.8571362080725473,-0.515089818197773,0,0.6619286,1,0,1,0,0,1,1,1,1,1,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
9d4f6ca2-7f1c-4964-88cf-c57474f17f7b,00d234a7-f3c7-4071-8f69-f18799967c81,36301,Senegal,2,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,January/February 2024,-1.68896574995782,-0.9703103284964132,0.2418633217608305,8,0.58944035,1,0,1,0,0,1,1,1,0,0,1,1,0,,0,0,,0,1,1.0,1,0,2,1,2,1,1,0,0,Little to no hunger
61544f3c-2a14-4022-a4fd-acf9b717996a,00d234a7-f3c7-4071-8f69-f18799967c81,36301,Senegal,2,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,March 2024,-0.6889657499578199,-0.5150898181977731,0.8571362080725473,6,0.58944035,1,0,1,1,1,0,1,1,0,1,1,1,0,,0,0,,0,0,,0,1,1,0,3,0,0,0,0,Little to no hunger
6bf5c8a3-da31-41aa-b5ae-8a9ff65caf54,00d234a7-f3c7-4071-8f69-f18799967c81,36301,Senegal,2,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,April/May 2024,0.3110342500421801,0.2418633217608304,0.9703103284964132,7,0.58944035,1,0,1,0,0,1,1,1,0,0,1,1,0,,0,0,,0,1,1.0,1,0,1,0,3,1,1,0,0,Little to no hunger
40efc109-9948-4b63-aaed-9989a4c95efe,00d62197b4b7425384e3784450a5410c,AS520,Senegal,2,myagro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,January/February 2024,-1.68896574995782,-0.9703103284964132,0.2418633217608305,27,0.5818582,1,0,1,0,0,0,1,0,0,0,1,0,0,,0,0,,0,1,1.0,1,0,3,6,3,5,1,0,0,Little to no hunger
23622d2e-fe90-4b94-a441-bf8b5ea96024,00d62197b4b7425384e3784450a5410c,AS520,Senegal,2,myagro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,March 2024,-0.6889657499578199,-0.5150898181977731,0.8571362080725473,24,0.5818582,1,0,1,0,0,0,1,1,1,0,1,0,0,,0,0,,0,1,1.0,1,3,4,5,3,2,1,0,0,Little to no hunger
b0cb3820-6230-47c9-b201-4e5bafe16b05,00d62197b4b7425384e3784450a5410c,AS520,Senegal,2,myagro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,April/May 2024,0.3110342500421801,0.2418633217608304,0.9703103284964132,6,0.5818582,1,0,1,0,0,0,1,1,1,0,1,1,0,,0,0,,0,0,,0,2,0,0,2,0,0,0,0,Little to no hunger
2268ff11-0349-4843-aaaf-ef3168d69d2f,00de5e56-85e2-4a96-8de0-dde6879364b2,42245,Senegal,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,June/July 2024,1.31103425004218,0.8571362080725473,0.5150898181977731,0,0.447197,1,0,1,0,1,1,1,1,1,1,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
57c33cd7-1ef5-42b8-a243-360a689d8d35,00de5e56-85e2-4a96-8de0-dde6879364b2,42245,Senegal,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,July/August 2024,2.31103425004218,0.9703103284964132,-0.2418633217608304,5,0.447197,1,0,1,0,0,0,0,1,1,1,1,0,0,,0,0,,0,0,,0,2,0,0,1,0,0,0,0,Little to no hunger
1ac20636-c81c-42c7-9c71-133d114d8ff7,00de5e56-85e2-4a96-8de0-dde6879364b2,42245,Senegal,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,September 2024,3.31103425004218,0.5150898181977732,-0.8571362080725472,5,0.447197,1,0,1,1,0,0,1,1,0,1,1,1,0,,0,0,,0,0,,0,2,0,0,1,0,0,0,0,Little to no hunger
894c93a6-7861-4205-80b0-56e3644e8fec,011590ef69ad484faf50fce382e5ed4b,ZM081,Mali,1,myagro,1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,October 2023,-3.68896574995782,-0.2418633217608305,-0.970310328496413,0,0.60455835,1,0,1,1,0,1,1,1,0,0,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
8b2f69c0-b318-4cf1-9e0d-8b554ed6ec9c,011590ef69ad484faf50fce382e5ed4b,ZM081,Mali,1,myagro,1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,November/December 2023,-2.68896574995782,-0.8571362080725473,-0.515089818197773,0,0.60455835,1,0,1,0,0,0,1,0,0,0,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
12012b77-db71-46a2-9714-1341e0cda657,012713745aa14ab8829d5474cbcbdfd9,RT330,Mali,3,myagro,1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,June/July 2024,1.31103425004218,0.8571362080725473,0.5150898181977731,16,0.5046277,1,0,1,1,0,1,1,1,0,0,1,0,0,,0,0,,0,0,,0,1,7,0,7,0,0,0,0,Little to no hunger
6bdc1cf8-c2e3-4c5c-b84e-40c6f60647ad,012713745aa14ab8829d5474cbcbdfd9,RT330,Mali,3,myagro,1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,July/August 2024,2.31103425004218,0.9703103284964132,-0.2418633217608304,21,0.5046277,1,1,1,1,0,1,1,1,0,1,1,1,0,,0,0,,0,0,,0,0,7,1,7,2,0,0,0,Little to no hunger
1f0ea7a4-067c-436d-b33d-847f0e6861fd,012713745aa14ab8829d5474cbcbdfd9,RT330,Mali,3,myagro,1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,September 2024,3.31103425004218,0.5150898181977732,-0.8571362080725472,13,0.5046277,1,0,0,0,0,1,1,1,0,0,1,1,0,,0,0,,0,0,,0,0,7,0,6,0,0,0,0,Little to no hunger
e39e0457-5416-4a15-8459-04d0a427c579,012d871376f44f75a860a5b3e195b7f4,EY584,Senegal,1,myagro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0,1,0,0,0,0,1,0,0,0,0,0,0,1,October 2023,-3.68896574995782,-0.2418633217608305,-0.970310328496413,0,0.5055197,1,0,1,0,0,1,1,1,1,1,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
d2ca41cc-898a-4e01-9cf0-867090b1ed88,013d9d7a-6252-4ebf-8b9b-e41095f22475,38194,Senegal,2,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,January/February 2024,-1.68896574995782,-0.9703103284964132,0.2418633217608305,8,0.3905676,1,0,1,0,0,0,1,1,0,0,1,1,0,,0,0,,0,0,,0,2,0,1,3,0,0,0,0,Little to no hunger
4a36f67b-3eeb-4d63-b4e3-9f25bcdcbf9a,013d9d7a-6252-4ebf-8b9b-e41095f22475,38194,Senegal,2,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,March 2024,-0.6889657499578199,-0.5150898181977731,0.8571362080725473,17,0.3905676,1,0,1,1,0,1,1,1,0,0,1,0,1,1.0,1,0,,0,0,,0,2,2,4,4,1,0,1,0,Little to no hunger
a5e330ac-b2c6-4c19-9793-8b40ca76a8a8,013d9d7a-6252-4ebf-8b9b-e41095f22475,38194,Senegal,2,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,April/May 2024,0.3110342500421801,0.2418633217608304,0.9703103284964132,19,0.3905676,1,0,1,0,0,0,1,1,0,0,1,0,0,,0,0,,0,1,1.0,1,4,1,0,4,2,1,0,0,Little to no hunger
8811481b-615b-4512-b77a-5d378d652d56,013efa68719c407dadb39245cd1ab949,GT705,Senegal,1,myagro,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,October 2023,-3.68896574995782,-0.2418633217608305,-0.970310328496413,7,0.49935985,1,0,1,1,0,1,1,1,1,1,1,1,0,,0,0,,0,0,,0,2,0,0,3,0,0,0,0,Little to no hunger
5925635b-e93a-4554-aa4a-f85b9a4949fb,0152b9ca661d4aca81ed18502f1ad315,YQ438,Senegal,3,myagro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,June/July 2024,1.31103425004218,0.8571362080725473,0.5150898181977731,15,0.44957757,1,1,1,0,0,0,1,1,0,1,1,1,2,2.0,1,0,,0,0,,0,2,1,2,2,2,0,1,0,Little to no hunger
8753429e-1763-4a35-8845-18175afe7a68,0152b9ca661d4aca81ed18502f1ad315,YQ438,Senegal,3,myagro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,July/August 2024,2.31103425004218,0.9703103284964132,-0.2418633217608304,12,0.44957757,1,0,0,1,0,1,1,1,0,1,1,1,0,,0,0,,0,1,1.0,1,2,1,0,1,2,1,0,0,Little to no hunger
859f2703-a06f-49c7-bbfb-a6785e86a0ac,0152b9ca661d4aca81ed18502f1ad315,YQ438,Senegal,3,myagro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,September 2024,3.31103425004218,0.5150898181977732,-0.8571362080725472,2,0.44957757,1,0,1,1,0,1,1,1,0,1,1,1,0,,0,0,,0,0,,0,0,0,0,2,0,0,0,0,Little to no hunger
